id,task,task_label,contestant,contestant_label,base,adjustment,points,rank,rigid,spread,scale,5+3,3+2,3½+2½
317,67,Reach the microwave in the fewest steps,17,Sara Pascoe,3,,3,3,3.0,3.0,3.0,,,
318,68,Propel a pea along a red carpet,13,Al Murray,5,,5,1,5.0,5.0,5.0,,,
319,68,Propel a pea along a red carpet,14,Dave Gorman,,,0,,,,,,,
320,68,Propel a pea along a red carpet,15,Paul Chowdhry,2,,2,4,2.0,2.0,2.0,,,
321,68,Propel a pea along a red carpet,16,Rob Beckett,4,,4,2,4.0,4.0,4.0,,,
322,68,Propel a pea along a red carpet,17,Sara Pascoe,3,,3,3,3.0,3.0,3.0,,,
323,69,Make the best snowman,13,Al Murray,3,,3,3,3.0,3.0,3.0,,,
324,69,Make the best snowman,14,Dave Gorman,5,,5,1,5.0,5.0,5.0,,,
325,69,Make the best snowman,15,Paul Chowdhry,1,,1,5,1.0,1.0,1.0,,,
326,69,Make the best snowman,16,Rob Beckett,2,,2,4,2.0,2.0,2.0,,,
327,69,Make the best snowman,17,Sara Pascoe,4,,4,2,4.0,4.0,4.0,,,
328,70,Balance swedes on a Swede,13,Al Murray,5,,5,1,5.0,5.0,5.0,,,
329,70,Balance swedes on a Swede,14,Dave Gorman,3,,3,3,3.0,3.0,3.0,,,
330,70,Balance swedes on a Swede,15,Paul Chowdhry,4,,4,2,4.0,4.0,4.0,,,
331,70,Balance swedes on a Swede,16,Rob Beckett,2,,2,4,2.0,2.0,2.0,,,
332,70,Balance swedes on a Swede,17,Sara Pascoe,1,,1,5,1.0,1.0,1.0,,,
333,71,The heaviest shoebox-sized item,13,Al Murray,3,,3,3,3.0,3.0,3.0,,,
334,71,The heaviest shoebox-sized item,14,Dave Gorman,5,,5,1,5.0,5.0,5.0,,,
335,71,The heaviest shoebox-sized item,15,Paul Chowdhry,2,,2,4,2.0,2.0,2.0,,,
336,71,The heaviest shoebox-sized item,16,Rob Beckett,4,,4,2,4.0,4.0,4.0,,,
337,71,The heaviest shoebox-sized item,17,Sara Pascoe,1,,1,5,1.0,1.0,1.0,,,
338,72,Surprise Alex,13,Al Murray,4,,4,2,4.0,4.0,4.0,,,
339,72,Surprise Alex,14,Dave Gorman,3,,3,3,3.0,3.0,3.0,,,
340,72,Surprise Alex,15,Paul Chowdhry,1,,1,5,1.0,1.0,1.0,,,
341,72,Surprise Alex,16,Rob Beckett,5,,5,1,5.0,5.0,5.0,,,
342,72,Surprise Alex,17,Sara Pascoe,2,,2,4,2.0,2.0,2.0,,,
343,73,Release Alex,13,Al Murray,0,,0,,,,,,,
344,73,Release Alex,14,Dave Gorman,0,,0,,,,,,,
